"meth_ind","exp_ind","pearson","pval","sam_size","h2_expression","h2_methylation","rg","rg_se","same_chromosome","qtls_status","dist"
"cg00239353","ILMN_2368530",-0.442401051521301,2.30516793158682e-22,422,0.393,0.5185185185,-0.610921,0.098009,TRUE,TRUE,3048
"cg00239353","ILMN_1778010",-0.37934148311615,3.00148824173925e-16,422,0.332,0.5185185185,-0.450723,0.147652,TRUE,TRUE,4432
"cg00270625","ILMN_1791754",0.439244538545609,1.38781246227851e-21,413,0.266,0.8143939394,0.710521,0.098588,TRUE,TRUE,9222
"cg00271210","ILMN_1671565",0.418587297201157,7.64942546972947e-20,421,0.31,0.8243512974,0.61224,0.070718,TRUE,TRUE,273016
"cg00295572","ILMN_1731233",0.351163744926453,6.0218213529381e-14,422,0.394,0.4451097804,0.540413,0.130901,FALSE,NA,NA
"cg00299943","ILMN_1731233",0.356293141841888,3.4034162315057e-14,417,0.394,0.3695871098,0.602673,0.17023,FALSE,NA,NA
"cg00305193","ILMN_2364535",0.423170000314713,2.39812564940501e-20,422,0.408,0.3971915747,0.703257,0.087171,FALSE,NA,NA
"cg00305193","ILMN_1733932",0.423480778932571,2.47313916034429e-20,421,0.366,0.3971915747,0.737132,0.093564,FALSE,NA,NA
"cg00305193","ILMN_1684312",0.382230907678604,1.43265215979883e-15,396,0.294,0.3971915747,0.664771,0.112222,FALSE,NA,NA
"cg00311984","ILMN_2370872",-0.322961777448654,7.06861524850189e-12,422,0.363,0.7047244094,-0.590811,0.102717,TRUE,TRUE,15765
"cg00327355","ILMN_1731233",0.390514552593231,3.12590838776867e-17,422,0.394,0.5064420218,0.521253,0.110701,FALSE,NA,NA
"cg00327355","ILMN_2352097",0.335080087184906,9.71852189507336e-13,422,0.37,0.5064420218,0.52834,0.129689,FALSE,NA,NA
"cg00327355","ILMN_2384122",0.3309545814991,1.9299342017914e-12,422,0.387,0.5064420218,0.492688,0.130117,FALSE,NA,NA
"cg00327947","ILMN_1658399",0.328081786632538,3.09179546404835e-12,422,0.301,0.4920318725,0.311974,0.138063,FALSE,NA,NA
"cg00327947","ILMN_2098126",0.324548661708832,5.48020983038611e-12,422,0.308,0.4920318725,0.298653,0.208448,FALSE,NA,NA
"cg00333824","ILMN_1731233",0.331472426652908,1.77176163836373e-12,422,0.394,0.3925327952,0.352873,0.137523,FALSE,NA,NA
"cg00334863","ILMN_1731233",-0.329635053873062,2.39792065987129e-12,422,0.394,0.5251509054,-0.341887,0.127818,FALSE,NA,NA
"cg00334863","ILMN_2098126",-0.320999175310135,9.66259133528985e-12,422,0.308,0.5251509054,-0.577685,0.214037,FALSE,NA,NA
"cg00336376","ILMN_1773352",0.322801530361176,7.2520104546703e-12,422,0.311,0.3637274549,0.19646,0.213119,FALSE,NA,NA
"cg00336376","ILMN_2098126",0.34508204460144,1.75890957385507e-13,422,0.308,0.3637274549,0.390936,0.234189,FALSE,NA,NA
"cg00355377","ILMN_1731233",-0.345235794782639,1.71241015447866e-13,422,0.394,0.3941825476,-0.466634,0.130435,FALSE,NA,NA
"cg00388812","ILMN_1731233",0.361058413982391,9.97583255099225e-15,422,0.394,0.4442211055,0.4521,0.150467,FALSE,NA,NA
"cg00405198","ILMN_1731233",0.328788280487061,3.29268827333666e-12,419,0.394,0.2670682731,0.624486,0.149517,FALSE,NA,NA
"cg00429767","ILMN_1718936",0.346311897039413,1.41898231568822e-13,422,0.263,0.5634920635,0.541709,0.098279,TRUE,TRUE,NA
"cg00441573","ILMN_1731233",0.336074739694595,8.22339871176579e-13,422,0.394,0.372983871,0.586468,0.178287,FALSE,NA,NA
"cg00466268","ILMN_1731233",0.348709523677826,9.30861967689464e-14,422,0.394,0.4853683148,0.302979,0.120986,FALSE,NA,NA
"cg00467420","ILMN_1731233",0.34221339225769,2.89126571476589e-13,422,0.394,0.408224674,0.509361,0.115876,FALSE,NA,NA
"cg00468146","ILMN_1731233",0.332235872745514,1.56141503317945e-12,422,0.394,0.4806910569,0.510877,0.108281,FALSE,NA,NA
"cg00472801","ILMN_1731233",0.34584766626358,1.6443340077718e-13,421,0.394,0.451,0.391916,0.124293,FALSE,NA,NA
"cg00490655","ILMN_1731233",0.401882112026215,2.83702834744993e-18,422,0.394,0.4441117764,0.531012,0.136694,FALSE,NA,NA
"cg00490655","ILMN_2352097",0.332619309425354,1.46517748385722e-12,422,0.37,0.4441117764,0.515927,0.160947,FALSE,NA,NA
"cg00495311","ILMN_1773352",0.355451077222824,2.78621076439427e-14,422,0.311,0.297,0.323539,0.223455,FALSE,NA,NA
"cg00495311","ILMN_2098126",0.367394030094147,3.04403993799504e-15,422,0.308,0.297,0.765509,0.242469,FALSE,NA,NA
"cg00523604","ILMN_1715169",0.392781257629395,7.23718502479514e-17,407,0.362,0.6930693069,0.482933,0.069332,TRUE,TRUE,323505
"cg00543976","ILMN_2384122",0.365526914596558,4.33161002905375e-15,422,0.387,0.5233830846,0.526264,0.119783,FALSE,NA,NA
"cg00543976","ILMN_2352097",0.36398458480835,5.78615048479744e-15,422,0.37,0.5233830846,0.487361,0.127901,FALSE,NA,NA
"cg00543976","ILMN_2098126",0.353316873311996,4.09556874762222e-14,422,0.308,0.5233830846,0.463794,0.197962,FALSE,NA,NA
"cg00543976","ILMN_1731233",0.429171860218048,5.82805915306001e-21,422,0.394,0.5233830846,0.522053,0.103844,FALSE,NA,NA
"cg00543976","ILMN_1773352",0.34772452712059,1.10740480553307e-13,422,0.311,0.5233830846,0.368622,0.16578,FALSE,NA,NA
"cg00543976","ILMN_1682993",0.321129262447357,9.46514917605923e-12,422,0.305,0.5233830846,0.408085,0.147732,FALSE,NA,NA
"cg00560542","ILMN_1773352",0.351682543754578,5.48927178750137e-14,422,0.311,0.459,0.264747,0.196868,FALSE,NA,NA
"cg00560542","ILMN_2384122",0.378374338150024,3.6346633789372e-16,422,0.387,0.459,0.518983,0.138546,FALSE,NA,NA
"cg00560542","ILMN_1797988",0.349928826093674,7.50118170576884e-14,422,0.294,0.459,0.432319,0.21029,FALSE,NA,NA
"cg00560542","ILMN_2098126",0.375907003879547,5.90446636789333e-16,422,0.308,0.459,0.57221,0.212371,FALSE,NA,NA
"cg00560542","ILMN_1799134",0.340423405170441,3.93161611111531e-13,422,0.33,0.459,0.350177,0.20003,FALSE,NA,NA
"cg00560542","ILMN_1660732",0.335786998271942,1.25338799315798e-12,416,0.308,0.459,0.391159,0.192407,FALSE,NA,NA
"cg00560542","ILMN_2352097",0.397208422422409,7.70245902899981e-18,422,0.37,0.459,0.56881,0.136272,FALSE,NA,NA
"cg00560542","ILMN_1731233",0.453817188739777,1.24811253992641e-23,422,0.394,0.459,0.581948,0.113682,FALSE,NA,NA
"cg00565412","ILMN_1731233",-0.337590426206589,6.36738307583741e-13,422,0.394,0.3976023976,-0.492446,0.14289,FALSE,NA,NA
"cg00565688","ILMN_1731233",0.337650865316391,7.6117003773425e-13,419,0.394,0.3688442211,0.509411,0.134975,FALSE,NA,NA
"cg00581764","ILMN_1773352",0.336432367563248,7.74280055164021e-13,422,0.311,0.3842315369,0.351759,0.184772,FALSE,NA,NA
"cg00581764","ILMN_2098126",0.336237400770187,8.00129806553871e-13,422,0.308,0.3842315369,0.435186,0.225932,FALSE,NA,NA
"cg00585790","ILMN_2098126",0.326767414808273,3.82903776701052e-12,422,0.308,0.3778894472,0.445479,0.222097,FALSE,NA,NA
"cg00585790","ILMN_1731233",0.366407960653305,3.66853422237369e-15,422,0.394,0.3778894472,0.638566,0.112754,FALSE,NA,NA
"cg00589371","ILMN_1731233",0.392437100410461,2.09794173324956e-17,422,0.394,0.4869215292,0.427892,0.126442,FALSE,NA,NA
"cg00597087","ILMN_3251217",-0.365086704492569,9.45694781063209e-12,320,0.169,0.5780933063,-1,0.251665,FALSE,NA,NA
"cg00610577","ILMN_1773352",0.326147198677063,4.2340045896763e-12,422,0.311,0.4452261307,0.251824,0.189516,FALSE,NA,NA
"cg00610577","ILMN_2098126",0.325411140918732,4.76903745246356e-12,422,0.308,0.4452261307,0.459483,0.220449,FALSE,NA,NA
"cg00631221","ILMN_1731233",0.328377425670624,3.31708611506299e-12,420,0.394,0.3507537688,0.530669,0.158914,FALSE,NA,NA
"cg00639010","ILMN_1773352",-0.324770778417587,5.28774291953365e-12,422,0.311,0.4388777555,-0.319228,0.208267,FALSE,NA,NA
"cg00639010","ILMN_2098126",-0.330241352319717,2.17054787320407e-12,422,0.308,0.4388777555,-0.382771,0.25396,FALSE,NA,NA
"cg00640314","ILMN_1773352",-0.323982864618301,6.00188522170971e-12,422,0.311,0.3716283716,-0.422428,0.205747,FALSE,NA,NA
"cg00651087","ILMN_1731233",0.343373626470566,2.52576559668102e-13,421,0.394,0.4058408862,0.599524,0.132219,FALSE,NA,NA
"cg00661320","ILMN_1660462",0.329252749681473,2.55307491833332e-12,422,0.311,0.4602851324,0.561095,0.152165,FALSE,NA,NA
"cg00661320","ILMN_2384122",0.348838239908218,9.09931118020599e-14,422,0.387,0.4602851324,0.455985,0.121165,FALSE,NA,NA
"cg00661320","ILMN_2352097",0.358002334833145,1.75079289021988e-14,422,0.37,0.4602851324,0.487107,0.122602,FALSE,NA,NA
"cg00661320","ILMN_1731233",0.451012939214706,2.58386670782991e-23,422,0.394,0.4602851324,0.551909,0.097986,FALSE,NA,NA
"cg00661347","ILMN_1773352",-0.328783869743347,2.75678654122858e-12,422,0.311,0.4905284148,-0.357926,0.177069,FALSE,NA,NA
"cg00665405","ILMN_1731233",0.402117639780045,2.69653217045104e-18,422,0.394,0.4812942366,0.437048,0.111119,FALSE,NA,NA
"cg00665405","ILMN_2352097",0.344422519207001,1.97277831683339e-13,422,0.37,0.4812942366,0.414867,0.130994,FALSE,NA,NA
"cg00665405","ILMN_2384122",0.328808784484863,2.74557376451781e-12,422,0.387,0.4812942366,0.393558,0.128749,FALSE,NA,NA
"cg00665405","ILMN_1797988",0.323817431926727,6.16336266408755e-12,422,0.294,0.4812942366,0.240915,0.204124,TRUE,FALSE,40437502
"cg00665405","ILMN_1773352",0.354066997766495,3.57821549726708e-14,422,0.311,0.4812942366,0.186568,0.176425,FALSE,NA,NA
"cg00665405","ILMN_2098126",0.370847284793854,1.5749199261126e-15,422,0.308,0.4812942366,0.320369,0.207946,FALSE,NA,NA
"cg00674365","ILMN_1731233",0.385063469409943,9.5355590142292e-17,422,0.394,0.4209466264,0.521122,0.120301,FALSE,NA,NA
"cg00699993","ILMN_1731233",0.340295761823654,4.01841397501079e-13,422,0.394,0.2981927711,0.753626,0.179205,FALSE,NA,NA
"cg00725635","ILMN_1773352",0.327027291059494,3.67082365540711e-12,422,0.311,0.4428857715,0.427341,0.167978,FALSE,NA,NA
"cg00725635","ILMN_2352097",0.322308391332626,7.84598373779088e-12,422,0.37,0.4428857715,0.490569,0.13403,FALSE,NA,NA
"cg00725635","ILMN_1731233",0.386747568845749,6.77245976352551e-17,422,0.394,0.4428857715,0.587424,0.108334,FALSE,NA,NA
"cg00735667","ILMN_1731233",0.383490592241287,1.98228862649081e-16,417,0.394,0.4949596774,0.731882,0.153358,FALSE,NA,NA
"cg00741986","ILMN_2098126",-0.325469255447388,4.72450005978456e-12,422,0.308,0.5145436309,-0.521841,0.191277,FALSE,NA,NA
"cg00741986","ILMN_1773352",-0.343044966459274,2.50474013135373e-13,422,0.311,0.5145436309,-0.33132,0.158787,FALSE,NA,NA
"cg00743788","ILMN_1731233",0.328815370798111,2.74261706920189e-12,422,0.394,0.349,0.418263,0.196681,FALSE,NA,NA
"cg00744866","ILMN_1784287",0.333782941102982,1.20724078189852e-12,422,0.352,0.4391959799,0.292883,0.174852,FALSE,NA,NA
"cg00744866","ILMN_2098126",0.329538643360138,2.43615688973458e-12,422,0.308,0.4391959799,0.233577,0.231286,FALSE,NA,NA
"cg00744866","ILMN_1773352",0.344496697187424,1.94750941873016e-13,422,0.311,0.4391959799,0.196505,0.190776,FALSE,NA,NA
"cg00745725","ILMN_1731233",0.321568071842194,9.34295090170182e-12,421,0.394,0.3476523477,0.519512,0.232217,FALSE,NA,NA
"cg00748373","ILMN_1731233",0.32771560549736,3.28196939034685e-12,422,0.394,0.3708542714,0.369253,0.135202,FALSE,NA,NA
"cg00759427","ILMN_2098126",0.354585319757462,3.49448424452731e-14,421,0.308,0.4974924774,0.512516,0.208368,FALSE,NA,NA
"cg00760203","ILMN_1773352",0.362757623195648,7.27609942185235e-15,422,0.311,0.3577154309,0.316038,0.191166,TRUE,FALSE,3055572
"cg00760203","ILMN_1813338",0.348142236471176,1.23692065453307e-12,385,0.205,0.3577154309,0.344284,0.177699,FALSE,NA,NA
"cg00760203","ILMN_2098126",0.348285645246506,1.00317433652268e-13,422,0.308,0.3577154309,0.315364,0.238323,TRUE,FALSE,3056344
"cg00830621","ILMN_2098126",-0.360240399837494,1.16041545730961e-14,422,0.308,0.4829659319,-0.537569,0.212577,FALSE,NA,NA
"cg00830621","ILMN_1773352",-0.363636791706085,6.17508825007648e-15,422,0.311,0.4829659319,-0.36377,0.18024,FALSE,NA,NA
"cg00851028","ILMN_1682993",0.322162002325058,8.03126042812888e-12,422,0.305,0.3893360161,0.529537,0.144588,FALSE,NA,NA
"cg00860090","ILMN_1749081",0.324087649583817,8.83721415315123e-12,415,0.287,0.3709677419,0.460181,0.207921,FALSE,NA,NA
"cg00860090","ILMN_1799134",0.328367233276367,2.95105207830884e-12,422,0.33,0.3709677419,0.30751,0.198904,FALSE,NA,NA
"cg00860090","ILMN_1797988",0.327593713998795,3.3477699875792e-12,422,0.294,0.3709677419,0.369252,0.211475,FALSE,NA,NA
"cg00860090","ILMN_2384122",0.365386337041855,4.44775021289774e-15,422,0.387,0.3709677419,0.536707,0.129455,FALSE,NA,NA
"cg00860090","ILMN_1731233",0.423838585615158,2.05164980393792e-20,422,0.394,0.3709677419,0.530416,0.114779,FALSE,NA,NA
"cg00860090","ILMN_1682993",0.338862180709839,5.13152480835524e-13,422,0.305,0.3709677419,0.301618,0.171116,FALSE,NA,NA
"cg00860090","ILMN_2098126",0.337135970592499,6.87603447689873e-13,422,0.308,0.3709677419,0.411056,0.219475,FALSE,NA,NA
"cg00860090","ILMN_1761945",0.325260311365128,5.17891186240886e-12,421,0.358,0.3709677419,0.33742,0.158663,FALSE,NA,NA
"cg00860090","ILMN_2352097",0.377174228429794,4.60467619890603e-16,422,0.37,0.3709677419,0.500713,0.135634,FALSE,NA,NA
"cg00868766","ILMN_3251269",0.3463234603405,1.41611325683756e-13,422,0.293,0.8518877057,0.800166,0.15036,TRUE,TRUE,36437
"cg00873050","ILMN_1731233",0.335886865854263,9.61195096669059e-13,420,0.394,0.4398797595,0.537368,0.145892,FALSE,NA,NA
"cg00875989","ILMN_2098126",0.333297967910767,1.30884834729103e-12,422,0.308,0.3323353293,0.412554,0.273842,FALSE,NA,NA
"cg00875989","ILMN_1773352",0.330982744693756,1.92098823136568e-12,422,0.311,0.3323353293,0.313023,0.239379,FALSE,NA,NA
"cg00875989","ILMN_1731233",0.335742622613907,8.69574220258902e-13,422,0.394,0.3323353293,0.509407,0.1525,FALSE,NA,NA
"cg00903577","ILMN_1676528",0.40276250243187,2.34592217446986e-18,422,0.384,0.6971484759,0.515405,0.06967,TRUE,TRUE,2452946
"cg00903577","ILMN_1700067",0.347994655370712,1.05596843536191e-13,422,0.41,0.6971484759,0.508835,0.087905,TRUE,TRUE,2462649
"cg00909514","ILMN_1731233",0.32134672999382,9.6767101126148e-12,421,0.394,0.433,0.438748,0.138731,FALSE,NA,NA
"cg00916899","ILMN_2098126",0.326592355966568,3.93934558113342e-12,422,0.308,0.4587525151,0.434296,0.205828,FALSE,NA,NA
"cg00916899","ILMN_1731233",0.368514716625214,2.46024771925259e-15,422,0.394,0.4587525151,0.524638,0.111273,FALSE,NA,NA
"cg00934232","ILMN_1660462",-0.344569057226181,1.92316490822783e-13,422,0.311,0.4104627767,-0.376987,0.199239,FALSE,NA,NA
"cg00934232","ILMN_1731233",-0.327756494283676,3.26018049080323e-12,422,0.394,0.4104627767,-0.312471,0.15332,FALSE,NA,NA
"cg00936935","ILMN_1813338",-0.335659563541412,9.36276868255695e-12,384,0.205,0.3416583417,-0.498985,0.187339,FALSE,NA,NA
"cg00956964","ILMN_1773352",0.33363088965416,1.23823852513402e-12,422,0.311,0.487854251,0.266829,0.174438,FALSE,NA,NA
"cg00956964","ILMN_2098126",0.355657607316971,2.68381146712072e-14,422,0.308,0.487854251,0.234264,0.216942,FALSE,NA,NA
"cg00956964","ILMN_1658399",0.326435774564743,4.04063356275009e-12,422,0.301,0.487854251,0.264784,0.143477,FALSE,NA,NA
"cg00958451","ILMN_1813139",-0.437757134437561,1.27274316759285e-21,417,0.262,0.7090203686,-0.782114,0.083997,TRUE,TRUE,46343
"cg00983520","ILMN_1791754",0.460123687982559,7.2752660590012e-24,413,0.266,0.7495183044,0.711844,0.094547,TRUE,TRUE,9270
"cg00992850","ILMN_1731233",0.333377212285995,1.29169287278369e-12,422,0.394,0.2314629259,0.546701,0.226909,FALSE,NA,NA
"cg01032675","ILMN_1731233",0.372022539377213,1.25605660165945e-15,422,0.394,0.5496957404,0.392034,0.118238,FALSE,NA,NA
"cg01046104","ILMN_1731233",0.324687153100967,5.67884474192552e-12,421,0.394,0.4167507568,0.428488,0.170349,FALSE,NA,NA
"cg01053260","ILMN_1731233",0.344210833311081,2.04666571570994e-13,422,0.394,0.4068479355,0.494782,0.130781,FALSE,NA,NA
"cg01058902","ILMN_1731233",-0.330188423395157,2.18952770588793e-12,422,0.394,0.3878364905,-0.40202,0.146052,FALSE,NA,NA
"cg01078408","ILMN_1731233",0.335201889276505,9.52206409820208e-13,422,0.394,0.3336683417,0.362393,0.144374,FALSE,NA,NA
"cg01078772","ILMN_2098126",-0.340043276548386,4.19565679734601e-13,422,0.308,0.3798994975,-0.627581,0.220934,FALSE,NA,NA
"cg01078772","ILMN_1660462",-0.321662485599518,8.69615971923422e-12,422,0.311,0.3798994975,-0.544056,0.178951,FALSE,NA,NA
"cg01078772","ILMN_1773352",-0.374601453542709,7.61893666388198e-16,422,0.311,0.3798994975,-0.371131,0.188273,FALSE,NA,NA
"cg01084837","ILMN_2098126",-0.343398690223694,2.35608624510142e-13,422,0.308,0.2432432432,-0.295353,0.292609,FALSE,NA,NA
"cg01084837","ILMN_1731233",-0.335130959749222,9.63599130459212e-13,422,0.394,0.2432432432,-0.331336,0.168824,FALSE,NA,NA
"cg01125463","ILMN_1683279",-0.372161030769348,1.42818057306353e-15,420,0.37,0.6183282981,-0.634095,0.099387,TRUE,TRUE,14228
"cg01135315","ILMN_1731233",-0.328793823719025,2.75230144374516e-12,422,0.394,0.4970414201,-0.361672,0.112868,FALSE,NA,NA
"cg01135315","ILMN_1773352",-0.333749830722809,1.21392555377944e-12,422,0.311,0.4970414201,-0.349067,0.155516,FALSE,NA,NA
"cg01135315","ILMN_2098126",-0.322528302669525,7.5754648193763e-12,422,0.308,0.4970414201,-0.574837,0.181695,FALSE,NA,NA
"cg01153946","ILMN_1773352",-0.344562113285065,1.9254881292948e-13,422,0.311,0.4635364635,0.007741,0.230504,FALSE,NA,NA
"cg01178603","ILMN_2358069",-0.350821256637573,8.41085506117291e-14,418,0.306,0.5154958678,-0.861222,0.141086,TRUE,TRUE,39029
"cg01186595","ILMN_1731233",-0.330798387527466,1.98029215058026e-12,422,0.394,0.4578790882,-0.386104,0.135741,FALSE,NA,NA
"cg01255414","ILMN_1731233",0.332762032747269,1.43085607965265e-12,422,0.394,0.345,0.467975,0.194281,FALSE,NA,NA
"cg01256320","ILMN_1656670",0.356957226991653,2.11898792607912e-14,422,0.208,0.8671065033,0.364309,0.077566,FALSE,NA,NA
"cg01256320","ILMN_1676528",0.351719856262207,5.45279918295681e-14,422,0.384,0.8671065033,0.391503,0.066752,FALSE,NA,NA
"cg01287936","ILMN_1813139",0.324381798505783,7.96204088801906e-12,416,0.262,0.3416087388,0.906051,0.159512,TRUE,TRUE,52834
"cg01303236","ILMN_1779147",-0.343854039907455,9.18477292564867e-13,400,0.387,0.289,-0.623735,0.108599,TRUE,TRUE,11303
"cg01315916","ILMN_1731233",0.379678040742874,3.0446093849843e-16,421,0.394,0.4089108911,0.604173,0.138292,FALSE,NA,NA
"cg01329151","ILMN_1731233",0.34409162402153,2.08945884910824e-13,422,0.394,0.4918533605,0.422527,0.101969,FALSE,NA,NA
"cg01357233","ILMN_1682993",-0.357099711894989,2.06465016369126e-14,422,0.305,0.3276553106,-0.375311,0.185447,FALSE,NA,NA
"cg01357233","ILMN_2098126",-0.344814658164978,1.84273478543358e-13,422,0.308,0.3276553106,-0.759796,0.251213,FALSE,NA,NA
"cg01357233","ILMN_2352097",-0.336897879838943,7.15815382958446e-13,422,0.37,0.3276553106,-0.693091,0.165626,FALSE,NA,NA
"cg01357233","ILMN_2384122",-0.330740600824356,1.99924622096322e-12,422,0.387,0.3276553106,-0.641421,0.16043,FALSE,NA,NA
"cg01357233","ILMN_1773352",-0.331565618515015,1.74467327982967e-12,422,0.311,0.3276553106,-0.492305,0.203697,FALSE,NA,NA
"cg01357233","ILMN_1731233",-0.341821998357773,3.09281255194942e-13,422,0.394,0.3276553106,-0.560332,0.148173,FALSE,NA,NA
"cg01372811","ILMN_2098126",-0.346075296401978,1.4789512294665e-13,422,0.308,0.432,-0.389088,0.203454,FALSE,NA,NA
"cg01372811","ILMN_1773352",-0.344272255897522,2.02495234269722e-13,422,0.311,0.432,-0.436147,0.160636,FALSE,NA,NA
"cg01396872","ILMN_1731233",0.333306044340134,1.30708976089699e-12,422,0.394,0.5154536391,0.500424,0.11387,FALSE,NA,NA
"cg01402099","ILMN_1773352",-0.334843128919601,1.01121277297775e-12,422,0.311,0.5430267062,-0.277138,0.174378,FALSE,NA,NA
"cg01402099","ILMN_1813338",-0.369074523448944,3.71187995760456e-14,385,0.205,0.5430267062,-0.466693,0.150087,TRUE,FALSE,115764256
"cg01402099","ILMN_1731233",-0.371633231639862,1.35394999614355e-15,422,0.394,0.5430267062,-0.474064,0.11355,FALSE,NA,NA
"cg01402099","ILMN_2098126",-0.331279307603836,1.82920991954446e-12,422,0.308,0.5430267062,-0.484617,0.198698,FALSE,NA,NA
"cg01405445","ILMN_1786426",-0.429213345050812,1.09321618258895e-20,416,0.3,0.4864048338,-0.709256,0.093005,TRUE,TRUE,16014
"cg01410472","ILMN_1731233",0.340946406126022,3.59471782215932e-13,422,0.394,0.4558232932,0.370852,0.141715,FALSE,NA,NA
"cg01425731","ILMN_2098126",0.340601980686188,4.06562625374637e-13,421,0.308,0.3771313942,0.562577,0.252962,FALSE,NA,NA
"cg01425731","ILMN_1773352",0.337344586849213,7.067911564981e-13,421,0.311,0.3771313942,0.307147,0.23161,FALSE,NA,NA
"cg01435515","ILMN_2384122",0.330939412117004,1.93476956203381e-12,422,0.387,0.421686747,0.556749,0.147771,FALSE,NA,NA
"cg01435515","ILMN_1731233",0.344483107328415,1.95211503062547e-13,422,0.394,0.421686747,0.457203,0.138104,FALSE,NA,NA
"cg01435515","ILMN_2352097",0.346505433320999,1.37170280734034e-13,422,0.37,0.421686747,0.598761,0.148259,FALSE,NA,NA
"cg01437235","ILMN_1793017",0.358339667320251,1.64592031120522e-14,422,0.364,0.8045112782,0.62974,0.094584,TRUE,TRUE,13785
"cg01444574","ILMN_1731233",0.361473649740219,9.23717659151642e-15,422,0.394,0.3847695391,0.649475,0.144298,FALSE,NA,NA
"cg01449341","ILMN_1731233",-0.327380567789078,3.67626333319833e-12,421,0.394,0.3259779338,-0.588804,0.152334,FALSE,NA,NA
